"Fecha,""Último"",""Apertura"",""Máximo"",""Mínimo"",""Vol."",""% var."""
"31.12.2021,""46.218,0"",""47.156,0"",""48.589,0"",""45.697,0"",""4,25K"",""-1,99%"""
"30.12.2021,""47.156,0"",""46.465,0"",""47.911,0"",""45.996,0"",""3,20K"",""1,49%"""
"29.12.2021,""46.465,0"",""47.554,0"",""48.166,0"",""46.129,0"",""4,12K"",""-2,29%"""
"28.12.2021,""47.554,0"",""50.684,0"",""50.710,0"",""47.339,0"",""5,43K"",""-6,18%"""
"27.12.2021,""50.684,0"",""50.797,0"",""52.027,0"",""50.483,0"",""3,52K"",""-0,22%"""
"26.12.2021,""50.797,0"",""50.435,2"",""51.281,0"",""49.473,0"",""2,90K"",""0,71%"""
"25.12.2021,""50.437,0"",""50.815,0"",""51.169,0"",""50.209,0"",""1,99K"",""-0,74%"""
"24.12.2021,""50.815,0"",""50.833,0"",""51.834,0"",""50.439,0"",""2,60K"",""0,01%"""
"23.12.2021,""50.812,0"",""48.626,0"",""51.376,0"",""48.078,0"",""4,43K"",""4,50%"""
"22.12.2021,""48.626,0"",""48.923,0"",""49.575,1"",""48.459,8"",""3,14K"",""-0,61%"""
"21.12.2021,""48.923,0"",""46.898,0"",""49.352,0"",""46.683,0"",""4,71K"",""4,32%"""
"20.12.2021,""46.898,0"",""46.716,5"",""47.541,0"",""45.606,0"",""5,65K"",""0,39%"""
"19.12.2021,""46.716,5"",""46.879,0"",""48.283,0"",""46.474,9"",""5,24K"",""-0,35%"""
"18.12.2021,""46.879,0"",""46.193,0"",""47.364,0"",""45.543,5"",""3,74K"",""1,49%"""
"17.12.2021,""46.193,0"",""47.675,0"",""48.028,8"",""45.539,0"",""5,86K"",""-3,11%"""
"16.12.2021,""47.675,0"",""48.901,0"",""49.462,1"",""47.561,0"",""3,53K"",""-2,51%"""
"15.12.2021,""48.901,0"",""48.408,0"",""49.520,0"",""46.602,0"",""7,04K"",""1,02%"""
"14.12.2021,""48.408,0"",""46.777,0"",""48.656,0"",""46.356,2"",""5,48K"",""3,49%"""
"13.12.2021,""46.777,0"",""50.123,0"",""50.222,7"",""45.790,0"",""8,71K"",""-6,68%"""
"12.12.2021,""50.123,0"",""49.363,1"",""50.800,0"",""48.692,0"",""3,87K"",""1,54%"""
"11.12.2021,""49.363,1"",""47.170,0"",""49.510,0"",""46.897,0"",""5,29K"",""4,65%"""
"10.12.2021,""47.170,0"",""47.611,0"",""50.105,0"",""47.060,0"",""8,17K"",""-0,93%"""
"09.12.2021,""47.611,0"",""50.503,4"",""50.824,0"",""47.408,0"",""5,28K"",""-5,73%"""
"08.12.2021,""50.503,4"",""50.634,0"",""51.239,0"",""48.760,0"",""4,03K"",""-0,26%"""
"07.12.2021,""50.634,0"",""50.566,6"",""51.969,0"",""50.102,0"",""3,91K"",""0,13%"""
"06.12.2021,""50.566,6"",""49.469,0"",""50.974,0"",""47.295,0"",""8,05K"",""2,22%"""
"05.12.2021,""49.469,0"",""49.272,0"",""49.752,0"",""47.860,0"",""4,78K"",""0,40%"""
"04.12.2021,""49.272,0"",""53.709,0"",""53.879,0"",""42.101,0"",""22,58K"",""-8,26%"""
"03.12.2021,""53.709,0"",""56.517,0"",""57.599,0"",""52.062,0"",""10,73K"",""-4,97%"""
"02.12.2021,""56.517,0"",""57.250,0"",""57.389,0"",""55.842,0"",""4,41K"",""-1,28%"""
"01.12.2021,""57.250,0"",""56.938,0"",""59.055,0"",""56.505,0"",""5,18K"",""0,55%"""
"30.11.2021,""56.938,0"",""57.845,0"",""59.174,0"",""55.940,0"",""6,47K"",""-1,57%"""
"29.11.2021,""57.845,0"",""57.325,0"",""58.886,0"",""56.772,0"",""5,07K"",""0,91%"""
"28.11.2021,""57.325,0"",""54.836,0"",""57.469,0"",""53.482,0"",""4,94K"",""4,54%"""
"27.11.2021,""54.836,0"",""53.738,0"",""55.329,0"",""53.711,0"",""3,09K"",""2,04%"""
"26.11.2021,""53.738,0"",""58.995,0"",""59.229,0"",""53.565,0"",""12,19K"",""-8,91%"""
"25.11.2021,""58.995,0"",""57.209,0"",""59.423,4"",""57.070,0"",""3,98K"",""3,12%"""
"24.11.2021,""57.209,0"",""57.602,0"",""57.762,0"",""55.916,9"",""4,89K"",""-0,68%"""
"23.11.2021,""57.602,0"",""56.299,0"",""57.866,2"",""55.460,0"",""8,56K"",""2,31%"""
"22.11.2021,""56.299,0"",""58.790,0"",""59.407,0"",""55.714,0"",""8,83K"",""-4,24%"""
"21.11.2021,""58.790,0"",""59.739,0"",""60.047,0"",""58.624,0"",""2,44K"",""-1,59%"""
"20.11.2021,""59.739,0"",""58.130,0"",""59.886,0"",""57.494,4"",""3,13K"",""2,77%"""
